Dataset,N_Cells,N_Genes,Global_Min,Global_Max,Global_Mean,Global_Median,Global_Std,Global_Q25,Global_Q75,Global_Q95,Global_Q99,Pct_Zeros,Mean_Genes_Per_Cell,Mean_Total_Counts_Per_Cell,Mean_Cells_Per_Gene,Mean_Expression_Per_Gene,Likely_LogNormalized,Values_In_Log_Range
REH,4219,12012,0.0,5.7853126165084,0.26429712716194204,0.0,0.5132073108761851,0.0,0.44402630411877,1.29844319758047,2.3109186158968,70.99770143737909,3483.7561033420243,3174.7370914692474,1223.6069763569762,0.264297127161942,Yes,"[0.00, 5.79]"
SUP,3998,12012,0.0,6.07714351509572,0.2457577634390715,0.0,0.5246639858261674,0.0,0.0,1.34389080611898,2.31933983573419,76.58464596933831,2812.6523261630814,2952.042254430136,936.1458541458542,0.24575776343907244,Yes,"[0.00, 6.08]"
GSE146773,1152,12012,0.0,6.768133,0.2702279798418172,0.07607912,0.43887080965412484,0.0,0.37729913,1.1329608,2.0642328389999998,40.76529662467163,7115.272569444444,3245.9784938599078,682.3837828837828,0.27022797984181696,Yes,"[0.00, 6.77]"
GSE64016,247,12012,0.0,5.171795071839333,0.30438642881893746,0.0320157987604813,0.5196634548671363,0.0,0.4191274787399279,1.4109684098850472,2.317385175060112,35.220076819267106,7781.364372469636,3656.2897829730737,160.00641025641025,0.3043864288189372,Yes,"[0.00, 5.17]"
Buettner_mESC,288,12012,0.0,6.167915732334905,0.2708217885762594,0.0022338440997237,0.5193039645345816,0.0,0.3084823316020891,1.4260655193876153,2.2667140187106414,49.67526686276686,6045.006944444444,3253.1113243780255,144.93523143523143,0.2708217885762591,Yes,"[0.00, 6.17]"
