Dataset,N_Cells,N_Genes,Global_Min,Global_Max,Global_Mean,Global_Median,Global_Std,Global_Q25,Global_Q75,Global_Q95,Global_Q99,Pct_Zeros,Mean_Genes_Per_Cell,Mean_Total_Counts_Per_Cell,Mean_Cells_Per_Gene,Mean_Expression_Per_Gene,Likely_LogNormalized,Values_In_Log_Range
REH,4219,12490,0.0,5.7853126165084,0.2542192410070926,0.0,0.5058440487107695,0.0,0.411093212709447,1.27771709640316,2.27835989830495,72.10084730500684,3484.6041716046457,3175.1983201785883,1177.0652522017615,0.2542192410070927,Yes,"[0.00, 5.79]"
SUP,3998,12221,0.0,6.07714351509572,0.2415637111785114,0.0,0.5211375051697558,0.0,0.0,1.33694957939418,2.3051631497029,76.98395675212618,2812.7906453226615,2952.150114312586,920.1814090499959,0.24156371117851147,Yes,"[0.00, 6.08]"
GSE146773,1152,42728,0.0,8.961061,0.09391120357087741,0.0,0.29016491297287955,0.0,0.0,0.60226274,1.4158261,76.72528073251472,9944.822048611111,4012.637906176486,268.12476596143046,0.09391120357087812,Yes,"[0.00, 8.96]"
GSE64016,247,19084,0.0,129617.691010772,172.9230207997365,1.52534185404247,802.564160207628,0.0,86.332150633361,780.7367520287482,2469.2711864458633,46.00523829445274,10304.36032388664,3300062.9289421686,133.36706141270173,172.9230207997363,No,"[0.00, 129617.69]"
Buettner_mESC,288,38237,0.0,6.266219197033962,0.10646237625300285,0.0,0.34623181605591624,0.0,0.0027638207159249,0.8011180198914639,1.769599940863353,74.37640389035634,9797.694444444445,4070.801880786077,73.79595679577373,0.106462376253003,Yes,"[0.00, 6.27]"
