feature,mean_abs_shap
HNRNPK,0.0
HNRNPL,0.0
HNRNPM,0.0
HNRNPR,0.0
HNRNPU,0.0
HNRNPA3,0.0
ICA1L,0.0
ICK,0.0
ICMT,0.0
ID2,0.0
IDE,0.0
IDH1,0.0
IDH2,0.0
IDH3A,0.0
IDH3B,0.0
IDH3G,0.0
IDI1,0.0
HSP90AA1,0.0
IER2,0.0
IER3IP1,0.0
IFI30,0.0
IFITM2,0.0
IFITM3,0.0
IFNAR1,0.0
IFNAR2,0.0
IFNGR1,0.0
IFNGR2,0.0
IFRD1,0.0
IFRD2,0.0
IFT122,0.0
IDS,0.0
HSP90AB1,0.0
HSP90B1,0.0
HSPA13,0.0
HSPA1B,0.0
HSPA4,0.0
HSPA5,0.0
HSPA8,0.0
HSPA9,0.0
HSPB11,0.0
HSPBAP1,0.0
HSPBP1,0.0
IBTK,0.0
HSPE1,0.0
HSPH1,0.0
HTATSF1,0.0
HTRA2,0.0
HTT,0.0
HUS1,0.0
HUWE1,0.0
HYAL2,0.0
HYOU1,0.0
IARS,0.0
IARS2,0.0
IBA57,0.0
HSPD1,0.0
HDAC7,0.0
HDAC8,0.0
HDDC2,0.0
HDDC3,0.0
HDGF,0.0
HDHD2,0.0
HDLBP,0.0
HEATR1,0.0
HEATR3,0.0
HEATR5A,0.0
HEATR5B,0.0
HMGCS1,0.0
HEBP1,0.0
HECA,0.0
HECTD1,0.0
HECTD3,0.0
HELB,0.0
HELLS,0.0
HELQ,0.0
HELZ,0.0
HERC1,0.0
HERC2,0.0
HERC4,0.0
HERPUD1,0.0
HEATR6,0.0
HADH,0.0
HADHA,0.0
HADHB,0.0
HARS,0.0
HARS2,0.0
HAT1,0.0
HAUS1,0.0
HAUS2,0.0
HAUS3,0.0
HAUS4,0.0
HAUS5,0.0
HDAC6,0.0
HAUS7,0.0
HAUS8,0.0
GINS2,0.0
HBP1,0.0
HBS1L,0.0
HCCS,0.0
HCFC1,0.0
HCFC1R1,0.0
HDAC1,0.0
